Code_Diplome;Intitulé diplôme (DEPP);Code_RNCP;Niveau fiche RNCP;Abrégé de diplôme (RNCP);Dernière MaJ;Accès à l'apprentissage de la fiche RNCP (oui/non);Date d'échéance de la fiche RNCP;Fiche ACTIVE/INACTIVE
20512402;PSYCHOLOGIE (LIC LMD REIMS);RNCP24435;Niveau 6;LICENCE;v1.0;oui;01/01/2025;ACTIVE
16X31037;MANAGER DU DEVELOPPEMENT INTERNATIONAL (MS GROUPE ESSEC);RNCP35733;Niveau 7;;v2.1;oui;08/07/2023;INACTIVE
25020075;TECHNICO-COMMERCIAL (LP LORRAINE);RNCP30163;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25031537;METIERS DE LA GRH : ASSISTANT (LP CLERMONT AUVERGNE);RNCP29806;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13512306;SOCIOLOGIE (MASTER NANTES);RNCP31499;Niveau 7;MASTER;v1.0;oui;01/01/2025;ACTIVE
15531006;DIPLOME GRADE MASTER DE PARIS DAUPHINE : MANAGEMENT STRATEGIQUE ET CONSEIL;RNCP34556;Niveau 7;DGE_GM;v2.2;oui;31/08/2024;ACTIVE
46T23102;OPERATEUR EN DETECTION DE RESEAUX (TP);RNCP37101;Niveau 4;TP;v3.0;oui;02/01/2028;ACTIVE
26X23002;CHEF DE PROJET DU BATIMENT EN ECONOMIE DE LA CONSTRUCTION (AFIP FORMATIONS);RNCP34618;Niveau 6;;v1.3;oui;29/05/2022;INACTIVE
26031035;DIPLOME SUPERIEUR EN MARKETING, COMMERCE ET GESTION DE L'EGC LILLE METROPOLE;RNCP38148;Niveau 6;DIPLOVIS;CI-27112023;oui;31/08/2026;ACTIVE
46X33401;CHARGE(E) D'ACCUEIL (EFHT);RNCP28739;Niveau 4;;v1.0;oui;05/08/2020;INACTIVE
26X31250;RESPONSABLE DU DEVELOPPEMENT COMMERCIAL (ESGCV);RNCP36610;Niveau 6;;v2.7;oui;01/07/2025;ACTIVE
26X31226;RESPONSABLE D'AGENCE COMMERCIALE DE SERVICES (EPICOM);RNCP29302;Niveau 6;;v1.1;oui;19/07/2020;INACTIVE
25025558;METIERS DE L'ELECTRONIQUE : COMMUNICATION, SYSTEMES EMBARQUES (LP AIX MARSEILLE);RNCP29962;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
2503122D;COMMERCE ET DISTRIBUTION (LP VALENCIENNES);RNCP29740;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
16C32601;MANAGER EN INGENIERIE DE LA QUALITE ET DE LA PERFORMANCE DES ENTREPRISES (CCI REGION PARIS ILE DE FRANCE ESIEE IT);RNCP35435;Niveau 7;;v1.6;oui;17/03/2026;ACTIVE
1702200B;INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DE MECANIQUE ET DES MICROTECHNIQUES, SPECIALITE MICROTECHNIQUES ET DESIGN;RNCP16546;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
33633502;DIPLOME D'ETAT DE LA JEUNESSE, DE L'EDUCATION POPULAIRE ET DU SPORT SPE PERFECTIONNEMENT SPORTIF ( DE JEPS);RNCP4863;Niveau 5;DEJEPS;v2.4;oui;01/01/2025;ACTIVE
13533128;ECONOMIE ET GESTION DE LA SANTE (MASTER PSL PARIS DAUPHINE);RNCP35175;Niveau 7;MASTER;v1.6;oui;31/08/2024;ACTIVE
13521004;BIOLOGIE, AGROSCIENCES (MASTER);RNCP26699;Niveau 7;MASTER;v2.0;oui;01/01/2025;ACTIVE
32022208;METIERS DE LA CHIMIE (BTS);RNCP35522;Niveau 5;BTS;v1.6;oui;01/01/2024;ACTIVE
46M24202;TAPISSIER DECORATEUR OPTION COUTURE OPTIONS COUTURE ET GARNITURE (BTM APCMA);RNCP36659;Niveau 4;;v2.7;oui;01/07/2025;ACTIVE
36X32607;DEVELOPPEUR INTEGRATEUR WEB (OPEN CLASSROOMS);RNCP36076;Niveau 5;;v2.3;oui;15/12/2023;INACTIVE
25034008;DEVELOPPEMENT DE PROJETS DE TERRITOIRES (LP ORLEANS);RNCP30059;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13512858;DROIT, ECONOMIE, GESTION : DROIT DES AFFAIRES (MASTER LILLE 2);RNCP34127;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
32034301;METIERS DE L'EAU (BTS);RNCP35344;Niveau 5;BTS;v1.6;oui;31/08/2023;INACTIVE
01022103;EMPLOYE TRAITEUR (MC NIVEAU V);RNCP37566;Niveau 3;MC5;v1.0;oui;31/08/2026;ACTIVE
1702510H;INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE D'ARTS ET METIERS, SPECIALITE MECANIQUE;RNCP18116;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
32125101;HORLOGERIE (DMA);RNCP830;Niveau 5;DMA;v1.0;oui;01/01/2025;ACTIVE
26X32110;JOURNALISTE (CFPJ);RNCP34463;Niveau 6;;v1.3;oui;02/03/2025;ACTIVE
13531543;GESTION DES RESSOURCES HUMAINES (MASTER CLERMONT AUVERGNE);RNCP35912;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
46012801;CAPACITE EN DROIT;RNCP24240;Niveau 4;CAPD;v1.9;oui;01/01/2025;ACTIVE
13513614;LANGUES ETRANGERES APPLIQUEES (MASTER LA ROCHELLE);RNCP34101;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
40123303;GRAPHISME ET DECOR OPTION B : DECORATEUR DE SURFACES ET VOLUMES (BMA);RNCP35242;Niveau 4;BMA;v1.6;oui;31/08/2023;INACTIVE
17011601;INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE UNIVERSITAIRE DE L'UNIVERSITE DE NICE, SPECIALITE GENIE DE L'EAU;RNCP36559;Niveau 7;Titre ingénieur;v2.6;oui;31/08/2023;INACTIVE
13532626;RESEAUX ET TELECOMMUNICATION (MASTER CNAM);RNCP34125;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
25031541;METIERS DE LA GRH : ASSISTANT (LP CAEN);RNCP29806;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
46E34301;TECHNICIEN DE CENTRE DE VALORISATION ENERGETIQUE (GIP FCIP TOULOUSE);RNCP35079;Niveau 4;;v1.0;oui;18/11/2025;ACTIVE
20533101;SCIENCES POUR LA SANTE (LIC LMD);RNCP25172;Niveau 6;LICENCE;v1.1;oui;01/01/2025;ACTIVE
32321111;PRODUCTION HORTICOLE (BTSA);RNCP36773;Niveau 5;BTSA;v2.7;oui;31/08/2028;ACTIVE
20511417;MATHEMATIQUES ET INFORMATIQUE APPLIQUEES AUX SCIENCES HUMAINES ET SOCIALES (LIC LMD TOULOUSE 3);RNCP24516;Niveau 6;LICENCE;v1.1;oui;01/01/2025;ACTIVE
2502000S;MAINTENANCE DES SYSTEMES INDUSTRIELS, DE PRODUCTION ET D'ENERGIE (LP LYON 1);RNCP30088;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13511822;BIODIVERSITE, ECOLOGIE ET EVOLUTION (MASTER);RNCP34154;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
36X13401;DESIGNER TEXTURE ET MATIERE (EEAM);RNCP31894;Niveau 5;;v1.3;oui;18/12/2021;INACTIVE
17020026;INGENIEUR DIPLOME DE L'ECOLE SUPERIEURE D'INGENIEURS LEONARD DE VINCI;RNCP25304;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
56T25504;AGENT DE MONTAGE ET DE CABLAGE EN ELECTRONIQUE (TP);RNCP36176;Niveau 3;TP;v2.4;oui;08/02/2024;ACTIVE
26X32629;EXPERT EN INGENIERIE DIGITALE (ESCEN);RNCP29817;Niveau 6;;v1.3;non;08/02/2021;INACTIVE
16X32631;CHEF DE PROJET ERP PROGICIELS DE GESTION INTEGRES (MS CESI);RNCP16642;Niveau 7;;v1.0;oui;18/12/2022;INACTIVE
46X2220A;OPERATEUR(TRICE) EXTERIEUR(E) DES INDUSTRIES PETROLIERES ET PETROCHIMIQUES (BREVET D'OPERATEUR(TRICE) IFP TRAINING);RNCP36642;Niveau 4;;v2.7;oui;01/07/2023;INACTIVE
40123305;ARTS GRAPHIQUES OPTION B : DECOR PEINT (BMA);RNCP37946;Niveau 4;BMA;CI-09112023;oui;31/08/2028;ACTIVE
25021002;GESTION DES ORGANISATIONS AGRICOLES ET AGROALIMENTAIRES (LP CAEN);RNCP29762;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13531416;COMPTABILITE-CONTROLE-AUDIT (MASTER CAEN);RNCP35991;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
40025006;MICROTECHNIQUES (BAC PRO);RNCP2832;Niveau 4;BAC PRO;v1.0;oui;01/01/2025;ACTIVE
25022139;METIERS DE L'EMBALLAGE ET DU CONDITIONNEMENT (LP MONTPELLIER);RNCP30120;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25120007;QUALITE, LOGISTIQUE INDUSTRIELLE ET ORGANISATION : QUALITE ET PILOTAGE DES SYSTEMES DE MANAGEMENT INTEGRES (BUT);RNCP35352;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
20532605;INFORMATIQUE (LIC LMD PARIS 11);RNCP24514;Niveau 6;LICENCE;v1.0;oui;01/01/2025;ACTIVE
25033119;OPTIQUE PROFESSIONNELLE (LP LA ROCHELLE);RNCP30157;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25111503;MESURES PHYSIQUES : TECHNIQUES D'INSTRUMENTATION (BUT);RNCP35479;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
16X32667;EXPERT EN INGENIERIE DES DONNEES (EFREI);RNCP36739;Niveau 7;;v2.7;oui;20/07/2025;ACTIVE
13525106;MECANIQUE (MASTER GRENOBLE ALPES);RNCP34069;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
32020007;DESIGN DE PRODUITS (BTS);RNCP3148;Niveau 5;BTS;v1.0;oui;31/08/2021;INACTIVE
25023101;METIERS DU BTP : TRAVAUX PUBLICS (LP LIMOGES);RNCP30144;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25122702;METIERS DE LA TRANSITION ET DE L'EFFICACITE ENERGETIQUES : EXPLOITATION DES INSTALLATIONS ENERGETIQUES POUR LE BATIMENT ET L'INDUSTRIE (BUT);RNCP35489;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
16C31001;MANAGER DE SYSTEME QUALITE SECURITE ENVIRONNEMENT (KEDGE BUSINESS SCHOOL);RNCP35430;Niveau 7;;v1.6;oui;17/03/2026;ACTIVE
16531215;DIPLOME DE L'ECOLE SUPERIEURE DE COMMERCE DE DIJON - PGE;RNCP35019;Niveau 7;DipViGrM;v1.3;oui;31/08/2025;ACTIVE
26X31005;RESPONSABLE OPERATIONNEL D'UNITE (GRENOBLE EM);RNCP17824;Niveau 6;;v1.0;oui;04/01/2020;INACTIVE
25132612;RESEAUX ET TELECOMMUNICATIONS : RESEAUX OPERATEURS ET MULTIMEDIA (BUT);RNCP35456;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
25021211;PRODUCTIONS ANIMALES (LP);RNCP30159;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13533115;INGENIERIE DE LA SANTE (MASTER PARIS 11);RNCP34075;Niveau 7;MASTER;v1.0;oui;31/08/2024;ACTIVE
20533501;SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (LIC LMD DIJON);RNCP35945;Niveau 6;LICENCE;v2.1;oui;31/08/2026;ACTIVE
50032306;MONTEUR EN CHAPITEAUX (CAP);RNCP632;Niveau 3;CAP;v1.0;oui;01/01/2025;ACTIVE
25033514;GESTION DE PROJETS ET STRUCTURES ARTISTIQUES ET CULTURELS (LP);RNCP30064;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
13512311;SCIENCES SOCIALES (MASTER BORDEAUX);RNCP34296;Niveau 7;MASTER;v1.1;oui;31/08/2024;ACTIVE
26X32644;CONCEPTEUR DEVELOPPEUR DE SOLUTIONS INFORMATIQUES (42);RNCP36135;Niveau 6;;v2.4;oui;26/01/2025;ACTIVE
1353103J;MANAGEMENT ET ADMINISTRATION DES ENTREPRISES (MASTER DIJON);RNCP35917;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
36X32410;ASSISTANT JURIDIQUE (ADDSA);RNCP37418;Niveau 5;;v3.0;oui;27/03/2026;ACTIVE
13512105;GEOMATIQUE (MASTER);RNCP34852;Niveau 7;MASTER;v1.5;oui;30/06/2025;ACTIVE
36322104;RESPONSABLE TECHNICO-COMMERCIAL DES ENTREPRISES AGRICOLES PARA-AGRICOLES ET AGRO-ALIMENTAIRES (CSA);RNCP2286;Niveau 5;CS;v1.0;oui;01/01/2025;ACTIVE
46T23002;TECHNICIEN METREUR DU BATIMENT (TP);RNCP34657;Niveau 4;TP;v1.3;oui;15/04/2025;ACTIVE
16X31065;EXPERT EN STRATEGIE DU MARKETING DIGITAL (EMLV);RNCP34019;Niveau 7;;v2.9;oui;24/05/2024;ACTIVE
32132205;ARTS GRAPHIQUES OPTION :  GRAVURE (DMA);RNCP826;Niveau 5;DMA;v1.0;oui;01/01/2025;ACTIVE
17025119;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON, SPECIALITE GENIE MECANIQUE;RNCP35115;Niveau 7;Titre ingénieur;v1.0;oui;31/08/2025;ACTIVE
25034345;GENIE DES PROCEDES POUR L'ENVIRONNEMENT (LP INU CHAMPOLLION);RNCP30063;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
2503121D;E-COMMERCE ET MARKETING NUMERIQUE (LP NANTES);RNCP30060;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
36E33201;CONSEILLER EMPLOI FORMATION INSERTION (GIP FORMAVIE);RNCP34789;Niveau 5;;v1.3;oui;23/07/2025;ACTIVE
36X32011;INFOGRAPHE EN IMAGE DE SYNTHESE 3D (STUDIO MERCIER);RNCP37086;Niveau 5;;CI-09112023;oui;23/11/2024;ACTIVE
25031505;METIERS DE LA GRH : ASSISTANT (LP LYON 2);RNCP29806;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
26X31222;RESPONSABLE DE DEVELOPPEMENT DE CLIENTELE (SFEF);RNCP36295;Niveau 6;;v2.4;oui;25/03/2025;ACTIVE
13531028;DROIT, ECONOMIE, GESTION : GESTION DE PRODUCTION, LOGISTIQUE, ACHATS (MASTER EVRY);RNCP35921;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
25031078;LOGISTIQUE ET TRANSPORTS INTERNATIONAUX (LP AIX MARSEILLE);RNCP29990;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
36N3260B;DEVELOPPEUR(EUSE) INTEGRATEUR(TRICE) DE MEDIAS INTERACTIFS (ASSOC CAMPUS FONDERIE DE L'IMAGE);RNCP27347;Niveau 5;;v1.2;oui;18/12/2021;INACTIVE
2503262E;E-COMMERCE ET MARKETING NUMERIQUE (LP LORRAINE);RNCP30060;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25022759;MAITRISE DE L'ENERGIE, ELECTRICITE, DEVELOPPEMENT DURABLE (LP LORRAINE);RNCP30094;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
26X32620;ADMINISTRATEUR(TRICE) SYSTEMES ET RESEAUX (IEF2I);RNCP38108;Niveau 6;;CI-27112023;oui;18/10/2028;ACTIVE
25025533;METIERS DE L'ELECTRICITE ET DE L'ENERGIE (LP CORSE);RNCP30117;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
26C32606;DEVELOPPEUR CHARGE DE PROJETS EN SOLUTIONS POUR MOBILES ET OBJETS CONNECTES (CCI FRANCE);RNCP34965;Niveau 6;;v1.3;oui;14/10/2022;INACTIVE
50023433;ENCADREUR (CAP);RNCP37242;Niveau 3;CAP;v2.9;oui;31/08/2027;ACTIVE
26031216;DIPLOME EN MANAGEMENT INTERNATIONAL DES AFFAIRES (DMIA) DE L'ESC MONTPELLIER;RNCP36246;Niveau 6;DipViGrL;v2.4;oui;31/08/2024;ACTIVE
13533121;SANTE (MASTER);RNCP34295;Niveau 7;MASTER;v1.1;oui;31/08/2024;ACTIVE
25031519;METIERS DE LA GRH : ASSISTANT (LP POITIERS);RNCP29806;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
50032313;ASSISTANT TECHNIQUE EN INSTRUMENTS DE MUSIQUE OPTION GUITARE (CAP);RNCP36255;Niveau 3;CAP;v2.4;oui;31/08/2027;ACTIVE
25134001;CARRIERES SOCIALES : VILLES ET TERRITOIRES DURABLES (BUT);RNCP35516;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
26033207;CERTFICAT D'APTITUDE AUX FONCTIONS D'ENCADREMENT ET DE RESPONSABLE D'UNITE D'INTERVENTION SOCIALE (CAFERUIS);RNCP36836;Niveau 6;CA;v2.8;oui;31/08/2027;ACTIVE
1702220N;INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DES INGENIEURS EN ARTS CHIMIQUES ET TECHNOLOGIQUES, DE L'INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE SPECIALITE GENIE DES PROCEDES (ENSIACET);RNCP38377;Niveau 7;Titre ingénieur;CI-16122023;oui;31/08/2026;ACTIVE
13512314;SOCIOLOGIE (MASTER);RNCP31499;Niveau 7;MASTER;v1.0;oui;01/01/2025;ACTIVE
46T33408;GOUVERNANT EN HOTELLERIE (TP);RNCP34421;Niveau 4;TP;v1.3;oui;18/12/2024;ACTIVE
16X32613;EXPERT EN PROJET DIGITAL (GLOBAL KNOWLEDGE NETWORK FRANCE);RNCP30749;Niveau 7;;v1.0;oui;24/05/2023;INACTIVE
25032055;COMMUNICATION ET VALORISATION DE LA CREATION ARTISTIQUE (LP);RNCP30056;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
26431202;RESPONSABLE DE CENTRE DE PROFIT EN DISTRIBUTION (CNEAP);RNCP29441;Niveau 6;;v1.0;oui;21/12/2021;INACTIVE
25032610;CARTOGRAPHIE, TOPOGRAPHIE ET SYSTEMES D'INFORMATION GEOGRAPHIQUE (LP PERPIGNAN);RNCP29961;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
32123410;HABITAT OPTION RESTAURATION DE MOBILIER (DMA);RNCP5293;Niveau 5;DMA;v1.0;oui;01/01/2025;ACTIVE
13531444;COMPTABILITE-CONTROLE-AUDIT (MASTER);RNCP35991;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
32033103;DIETETIQUE (BTS);RNCP35523;Niveau 5;BTS;v1.6;oui;31/08/2024;ACTIVE
2503262T;METIERS DES RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS (LP MULHOUSE);RNCP29968;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
20513115;LETTRES (LIC LMD MARNE LA VALLEE);RNCP24481;Niveau 6;LICENCE;v1.0;oui;01/01/2025;ACTIVE
40025216;MAINTENANCE DES VEHICULES OPTION C MOTOCYCLES (BAC PRO);RNCP19117;Niveau 4;BAC PRO;v1.0;oui;01/01/2025;ACTIVE
25022028;METIERS DE L'INDUSTRIE : METALLURGIE, MISE EN FORME DES MATERIAUX ET SOUDAGE (LP);RNCP30132;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
26X32608;RESPONSABLE DE PROJETS INFORMATIQUES (FONDATION LA MACHE PARTNER FORMATION-ISITECH);RNCP13387;Niveau 6;;v1.0;oui;07/08/2022;INACTIVE
25022735;METIERS DE L'ENERGETIQUE, DE L'ENVIRONNEMENT ET DU GENIE CLIMATIQUE (LP AMIENS);RNCP30121;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25011810;BIO-INDUSTRIES ET BIOTECHNOLOGIES (LP DIJON);RNCP30047;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25033441;METIERS DU TOURISME : COMMUNICATION ET VALORISATION DES TERRITOIRES (LP DIJON);RNCP29982;Niveau 6;Licence Professionnelle;v1.1;oui;01/01/2025;ACTIVE
1702510J;INGENIEUR DIPLOME DE L'ECOLE CENTRALE DE NANTES, SPECIALITE MECANIQUE;RNCP17696;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
2502002V;MAINTENANCE ET TECHNOLOGIE : ORGANISATION DE LA MAINTENANCE (LP);RNCP30091;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25033436;METIERS DU TOURISME ET DES LOISIRS (LP LORRAINE);RNCP29983;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
17023202;INGENIEUR DIPLOME DE L'ECOLE SPECIALE DES TRAVAUX PUBLICS, DU BATIMENT ET DE L'INDUSTRIE, SPECIALITE ENERGETIQUE DE LA CONSTRUCTION;RNCP20236;Niveau 7;Titre ingénieur;v1.0;oui;01/01/2025;ACTIVE
25020018;METIERS DE L'INDUSTRIE : CONCEPTION DE PRODUITS INDUSTRIELS (LP AMIENS);RNCP30125;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
2503100C;GESTION DES STRUCTURES SANITAIRES ET SOCIALES (LP);RNCP30070;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
16X20007;MANAGER EN INGENIERIE DU DESIGN (RUBIKA);RNCP35009;Niveau 7;;v2.1;oui;14/10/2025;ACTIVE
20511408;SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES (LIC LMD TOURS);RNCP24518;Niveau 6;LICENCE;v1.1;oui;01/01/2025;ACTIVE
25031427;METIERS DE LA GESTION ET DE LA COMPTABILITE : RESPONSABLE DE PORTEFEUILLE CLIENTS EN CABINET D'EXPERTISE (LP CORSE);RNCP30108;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
32023205;ENVELOPPE DES BATIMENTS : CONCEPTION ET REALISATION (BTS);RNCP37495;Niveau 5;BTS;v1.6;oui;31/12/2028;ACTIVE
1702300L;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE TOULOUSE SPE GENIE CIVIL;RNCP34866;Niveau 7;Titre ingénieur;v1.3;oui;31/08/2025;ACTIVE
36T23004;COORDINATEUR BIM DU BATIMENT (TP);RNCP34280;Niveau 6;TP;v1.2;oui;30/09/2024;ACTIVE
56X34401;AGENT(E) DE PREVENTION DE SURETE ET DE SECURITE (EEIE-EESP);RNCP34647;Niveau 3;;v1.3;oui;29/05/2025;ACTIVE
16X31004;MANAGER OPERATIONNEL D'ACTIVITES (ASCENCIA PARIS LA DEFENSE);RNCP35585;Niveau 7;;v1.8;oui;19/05/2024;ACTIVE
32032325;PHOTOGRAPHIE (BTS);RNCP36970;Niveau 5;BTS;v2.8;oui;31/08/2027;ACTIVE
16X31327;EXPERT EN AUDIT CONTROLE ET CONSEIL (INSEEC);RNCP35008;Niveau 7;;v1.4;oui;14/10/2025;ACTIVE
50022361;ART ET TECHNIQUES DE LA BIJOUTERIE-JOAILLERIE OPTION BIJOUTERIE-JOAILLERIE (CAP);RNCP36336;Niveau 3;CAP;v1.0;oui;31/08/2027;ACTIVE
13531098;MANAGEMENT DE L'INNOVATION (MASTER LIMOGES);RNCP35910;Niveau 7;MASTER;v2.1;oui;31/08/2026;ACTIVE
16X31312;SOUSCRIPTEUR EN ASSURANCE ET REASSURANCE (IFPASS);RNCP36464;Niveau 7;;v2.6;oui;01/06/2025;ACTIVE
13531063;QUALITE, HYGIENE, SECURITE (MASTER AIX MARSEILLE);RNCP30636;Niveau 7;MASTER;v2.1;oui;01/01/2024;ACTIVE
25025536;MAITRISE DE L'ENERGIE, ELECTRICITE, DEVELOPPEMENT DURABLE (LP POITIERS);RNCP30094;Niveau 6;Licence Professionnelle;v1.0;oui;01/01/2025;ACTIVE
25122204;CHIMIE : SYNTHESE (BUT);RNCP35495;Niveau 6;BUT;v1.7;oui;31/08/2026;ACTIVE
